% time	cellId	IMSI	frame	sframe	RNTI	mcsTb1	sizeTb1	mcsTb2	sizeTb2
4.712	1	1	472	3	1	14	1527	14	1527
4.713	1	1	472	4	1	14	1527	14	1527
4.72	1	1	473	1	1	0	0	14	1527
4.726	1	1	473	7	1	14	1527	14	1527
4.727	1	1	473	8	1	14	1527	14	1527
4.728	1	1	473	9	1	14	1527	14	1527
4.741	1	1	475	2	1	14	1527	14	1527
4.742	1	1	475	3	1	14	1527	14	1527
4.743	1	1	475	4	1	14	1527	14	1527
4.75	1	1	476	1	1	0	0	14	1527
4.756	1	1	476	7	1	14	1527	14	1527
4.757	1	1	476	8	1	14	1527	14	1527
4.758	1	1	476	9	1	14	1527	14	1527
4.771	1	1	478	2	1	14	1527	14	1527
4.772	1	1	478	3	1	14	1527	14	1527
4.773	1	1	478	4	1	14	1527	14	1527
4.786	1	1	479	7	1	14	1527	14	1527
4.787	1	1	479	8	1	14	1527	14	1527
4.788	1	1	479	9	1	14	1527	14	1527
4.801	1	1	481	2	1	14	1527	14	1527
4.802	1	1	481	3	1	14	1527	14	1527
4.803	1	1	481	4	1	14	1527	14	1527
4.816	1	1	482	7	1	14	1527	14	1527
4.817	1	1	482	8	1	14	1527	14	1527
4.818	1	1	482	9	1	14	1527	14	1527
4.831	1	1	484	2	1	14	1527	14	1527
4.832	1	1	484	3	1	14	1527	14	1527
4.833	1	1	484	4	1	14	1527	14	1527
4.846	1	1	485	7	1	14	1527	14	1527
4.847	1	1	485	8	1	14	1527	14	1527
4.848	1	1	485	9	1	14	1527	14	1527
4.849	1	1	485	10	1	14	1527	14	1527
4.856	1	1	486	7	1	0	0	14	1527
4.861	1	1	487	2	1	14	1527	14	1527
4.862	1	1	487	3	1	14	1527	14	1527
4.863	1	1	487	4	1	14	1527	14	1527
4.864	1	1	487	5	1	14	1527	14	1527
4.871	1	1	488	2	1	0	0	14	1527
4.876	1	1	488	7	1	14	1527	14	1527
4.877	1	1	488	8	1	14	1527	14	1527
4.878	1	1	488	9	1	14	1527	14	1527
4.879	1	1	488	10	1	14	1527	14	1527
4.886	1	1	489	7	1	0	0	14	1527
4.891	1	1	490	2	1	14	1527	14	1527
4.892	1	1	490	3	1	14	1527	14	1527
4.893	1	1	490	4	1	14	1527	14	1527
4.894	1	1	490	5	1	14	1527	14	1527
4.901	1	1	491	2	1	0	0	14	1527
4.906	1	1	491	7	1	14	1527	14	1527
4.907	1	1	491	8	1	14	1527	14	1527
4.908	1	1	491	9	1	14	1527	14	1527
4.909	1	1	491	10	1	14	1527	14	1527
4.916	1	1	492	7	1	0	0	14	1527
4.921	1	1	493	2	1	14	1527	14	1527
4.922	1	1	493	3	1	14	1527	14	1527
4.923	1	1	493	4	1	14	1527	14	1527
4.924	1	1	493	5	1	14	1527	14	1527
4.931	1	1	494	2	1	0	0	14	1527
4.936	1	1	494	7	1	14	1527	14	1527
4.937	1	1	494	8	1	14	1527	14	1527
4.951	1	1	496	2	1	14	1527	14	1527
4.952	1	1	496	3	1	14	1527	14	1527
